net,length_um
_02564_,2.5µm
_02616_,2.5µm
_02619_,2.5µm
_02624_,2.5µm
_02723_,2.5µm
_02806_,2.5µm
_02843_,2.5µm
_02897_,2.5µm
_02991_,2.5µm
_02995_,2.5µm
_03017_,2.5µm
_03100_,2.5µm
_03140_,2.5µm
_03179_,2.5µm
_03204_,2.5µm
_03216_,2.5µm
_03230_,2.5µm
_03263_,2.5µm
_03331_,2.5µm
_03332_,2.5µm
_03350_,2.5µm
_03420_,2.5µm
_03424_,2.5µm
_03451_,2.5µm
_03463_,2.5µm
_03493_,2.5µm
_03495_,2.5µm
_03499_,2.5µm
_03542_,2.5µm
_03551_,2.5µm
_03564_,2.5µm
_03599_,2.5µm
_03608_,2.5µm
_03650_,2.5µm
_03700_,2.5µm
_03711_,2.5µm
_03723_,2.5µm
_03770_,2.5µm
_03839_,2.5µm
_03843_,2.5µm
_03866_,2.5µm
_03937_,2.5µm
_03954_,2.5µm
_03998_,2.5µm
_04184_,2.5µm
_04189_,2.5µm
_04240_,2.5µm
_04304_,2.5µm
_04338_,2.5µm
_04344_,2.5µm
_04383_,2.5µm
_04408_,2.5µm
_04478_,2.5µm
_04504_,2.5µm
_04527_,2.5µm
_04539_,2.5µm
_04545_,2.5µm
_04608_,2.5µm
_04611_,2.5µm
_04628_,2.5µm
_04677_,2.5µm
_04683_,2.5µm
_04699_,2.5µm
_04705_,2.5µm
_04727_,2.5µm
_04733_,2.5µm
_04748_,2.5µm
_04753_,2.5µm
_04803_,2.5µm
_04842_,2.5µm
_04855_,2.5µm
_04862_,2.5µm
_04888_,2.5µm
_04893_,2.5µm
_04913_,2.5µm
_04933_,2.5µm
_04960_,2.5µm
_04963_,2.5µm
_04983_,2.5µm
_04988_,2.5µm
_05008_,2.5µm
_05028_,2.5µm
_05049_,2.5µm
_05064_,2.5µm
_05091_,2.5µm
_05099_,2.5µm
_05111_,2.5µm
_05124_,2.5µm
_05127_,2.5µm
_05154_,2.5µm
_05159_,2.5µm
_05180_,2.5µm
_05183_,2.5µm
_05185_,2.5µm
_05199_,2.5µm
_05236_,2.5µm
_05274_,2.5µm
_05290_,2.5µm
_05301_,2.5µm
_05315_,2.5µm
_05326_,2.5µm
_05337_,2.5µm
_05356_,2.5µm
_05406_,2.5µm
_05416_,2.5µm
_05426_,2.5µm
_05428_,2.5µm
_05437_,2.5µm
_05455_,2.5µm
_05512_,2.5µm
_05543_,2.5µm
_05574_,2.5µm
_05578_,2.5µm
_05603_,2.5µm
_05609_,2.5µm
_05611_,2.5µm
_05614_,2.5µm
_05626_,2.5µm
_05690_,2.5µm
_05750_,2.5µm
_05795_,2.5µm
_05821_,2.5µm
_05842_,2.5µm
_05855_,2.5µm
_05864_,2.5µm
_05923_,2.5µm
_05927_,2.5µm
_05932_,2.5µm
_05945_,2.5µm
_05997_,2.5µm
_06042_,2.5µm
_06058_,2.5µm
_06065_,2.5µm
_06101_,2.5µm
_06135_,2.5µm
_06140_,2.5µm
_06146_,2.5µm
_06151_,2.5µm
_06249_,2.5µm
_06266_,2.5µm
_06279_,2.5µm
_06294_,2.5µm
_06337_,2.5µm
_06339_,2.5µm
_06348_,2.5µm
_06362_,2.5µm
_06429_,2.5µm
_06435_,2.5µm
_06454_,2.5µm
_06616_,2.5µm
_06664_,2.5µm
_06808_,2.5µm
_07399_,2.5µm
_07538_,2.5µm
_07578_,2.5µm
_07658_,2.5µm
_07725_,2.5µm
_07844_,2.5µm
_07932_,2.5µm
_08070_,2.5µm
_08217_,2.5µm
_08421_,2.5µm
_08501_,2.5µm
_08664_,2.5µm
_08942_,2.5µm
_08989_,2.5µm
_08994_,2.5µm
_09034_,2.5µm
_09082_,2.5µm
_09115_,2.5µm
_09120_,2.5µm
_09253_,2.5µm
_09298_,2.5µm
_09377_,2.5µm
_09446_,2.5µm
_09599_,2.5µm
_09652_,2.5µm
_09687_,2.5µm
_09823_,2.5µm
_09862_,2.5µm
_09907_,2.5µm
_10098_,2.5µm
_10170_,2.5µm
_10263_,2.5µm
_10290_,2.5µm
_10313_,2.5µm
_10323_,2.5µm
_10373_,2.5µm
_10391_,2.5µm
_10412_,2.5µm
_10508_,2.5µm
_10519_,2.5µm
_10529_,2.5µm
_10538_,2.5µm
_10553_,2.5µm
_10634_,2.5µm
_10648_,2.5µm
_10668_,2.5µm
_10670_,2.5µm
_10716_,2.5µm
_10784_,2.5µm
_10789_,2.5µm
_10802_,2.5µm
_10832_,2.5µm
_10842_,2.5µm
_10885_,2.5µm
_10886_,2.5µm
_10924_,2.5µm
_10970_,2.5µm
_10987_,2.5µm
_10991_,2.5µm
_11012_,2.5µm
_11015_,2.5µm
_11025_,2.5µm
_11040_,2.5µm
_11067_,2.5µm
_11079_,2.5µm
_11081_,2.5µm
_11131_,2.5µm
_11152_,2.5µm
_11203_,2.5µm
_11225_,2.5µm
_11282_,2.5µm
_11285_,2.5µm
_11296_,2.5µm
_11297_,2.5µm
_11311_,2.5µm
_11359_,2.5µm
_11362_,2.5µm
_11384_,2.5µm
_04871_,2.49µm
_08487_,2.465µm
_11372_,2.46µm
_00062_,2.43µm
_04073_,2.43µm
_03657_,2.42µm
_05509_,2.41µm
_03266_,2.4µm
_04420_,2.4µm
_04622_,2.4µm
_05361_,2.4µm
_06363_,2.4µm
_06513_,2.4µm
_07511_,2.4µm
_07591_,2.4µm
_07828_,2.4µm
_09159_,2.4µm
_09192_,2.4µm
_09477_,2.4µm
_09484_,2.4µm
_09555_,2.4µm
_09745_,2.4µm
net2969,2.4µm
net3064,2.4µm
net3075,2.4µm
_00006_,2.38µm
_00029_,2.38µm
_00033_,2.38µm
_00056_,2.38µm
_00059_,2.38µm
_00069_,2.38µm
_00074_,2.38µm
_00083_,2.38µm
_00085_,2.38µm
_00098_,2.38µm
_00100_,2.38µm
_00116_,2.38µm
_00120_,2.38µm
_00122_,2.38µm
_00124_,2.38µm
_00127_,2.38µm
_00132_,2.38µm
_00133_,2.38µm
_00134_,2.38µm
_00170_,2.38µm
_00171_,2.38µm
_00172_,2.38µm
_00173_,2.38µm
_00176_,2.38µm
_00180_,2.38µm
_00181_,2.38µm
_00183_,2.38µm
_00189_,2.38µm
_00196_,2.38µm
_00197_,2.38µm
_00215_,2.38µm
_00218_,2.38µm
_00222_,2.38µm
_00226_,2.38µm
_00228_,2.38µm
_00234_,2.38µm
_00235_,2.38µm
_00271_,2.38µm
_00279_,2.38µm
_00286_,2.38µm
_00290_,2.38µm
_00292_,2.38µm
_00296_,2.38µm
_00306_,2.38µm
_00313_,2.38µm
_00329_,2.38µm
_00330_,2.38µm
_00332_,2.38µm
_00335_,2.38µm
_00337_,2.38µm
_00340_,2.38µm
_00342_,2.38µm
_00343_,2.38µm
_00346_,2.38µm
_00357_,2.38µm
_00359_,2.38µm
_00370_,2.38µm
_00385_,2.38µm
_00388_,2.38µm
_00412_,2.38µm
_00418_,2.38µm
_00419_,2.38µm
_00423_,2.38µm
_00431_,2.38µm
_00433_,2.38µm
_00447_,2.38µm
_00456_,2.38µm
_00469_,2.38µm
_00476_,2.38µm
_00500_,2.38µm
_00508_,2.38µm
_00514_,2.38µm
_00515_,2.38µm
_00528_,2.38µm
_00533_,2.38µm
_00534_,2.38µm
_00538_,2.38µm
_00550_,2.38µm
_00553_,2.38µm
_00557_,2.38µm
_00581_,2.38µm
_00586_,2.38µm
_00589_,2.38µm
_00600_,2.38µm
_00612_,2.38µm
_00616_,2.38µm
_00619_,2.38µm
_00625_,2.38µm
_00628_,2.38µm
_00634_,2.38µm
_00637_,2.38µm
_00647_,2.38µm
_00662_,2.38µm
_00665_,2.38µm
_00668_,2.38µm
_00671_,2.38µm
_00676_,2.38µm
_00680_,2.38µm
_00687_,2.38µm
_00695_,2.38µm
_00702_,2.38µm
_00703_,2.38µm
_00704_,2.38µm
_00710_,2.38µm
_00715_,2.38µm
_00717_,2.38µm
_00719_,2.38µm
_00727_,2.38µm
_00740_,2.38µm
_00742_,2.38µm
_00767_,2.38µm
_00783_,2.38µm
_00787_,2.38µm
_00792_,2.38µm
_00798_,2.38µm
_00807_,2.38µm
_00808_,2.38µm
_00829_,2.38µm
_00830_,2.38µm
_00845_,2.38µm
_00846_,2.38µm
_00847_,2.38µm
_00856_,2.38µm
_00857_,2.38µm
_00862_,2.38µm
_00886_,2.38µm
_00894_,2.38µm
_00897_,2.38µm
_00925_,2.38µm
_00941_,2.38µm
_00963_,2.38µm
_00965_,2.38µm
_00973_,2.38µm
_00981_,2.38µm
_00982_,2.38µm
_00986_,2.38µm
_00991_,2.38µm
_00996_,2.38µm
_01003_,2.38µm
_01019_,2.38µm
_01032_,2.38µm
_01034_,2.38µm
_01037_,2.38µm
_01065_,2.38µm
_01077_,2.38µm
_01080_,2.38µm
_01105_,2.38µm
_01118_,2.38µm
_01122_,2.38µm
_01127_,2.38µm
_01130_,2.38µm
_01141_,2.38µm
_01149_,2.38µm
_01150_,2.38µm
_01154_,2.38µm
_01157_,2.38µm
_01176_,2.38µm
_01196_,2.38µm
_01199_,2.38µm
_01200_,2.38µm
_01222_,2.38µm
_01225_,2.38µm
_01261_,2.38µm
_01273_,2.38µm
_01693_,2.38µm
_01929_,2.38µm
_02081_,2.38µm
_02192_,2.38µm
_02341_,2.38µm
_02530_,2.38µm
_02612_,2.38µm
_02935_,2.38µm
_02964_,2.38µm
_05814_,2.38µm
_05965_,2.38µm
_08059_,2.38µm
_08447_,2.38µm
_09631_,2.38µm
_10417_,2.38µm
_11250_,2.38µm
_11388_,2.375µm
_00872_,2.31µm
_01339_,2.3µm
_01340_,2.3µm
_01452_,2.3µm
_01474_,2.3µm
_02018_,2.3µm
_02031_,2.3µm
_02234_,2.3µm
_02240_,2.3µm
_02607_,2.3µm
_02830_,2.3µm
_02922_,2.3µm
_03274_,2.3µm
_03533_,2.3µm
_03556_,2.3µm
_03710_,2.3µm
_03873_,2.3µm
_03880_,2.3µm
_03918_,2.3µm
_03997_,2.3µm
_04218_,2.3µm
_04285_,2.3µm
_04303_,2.3µm
_04409_,2.3µm
_04471_,2.3µm
_04610_,2.3µm
_04785_,2.3µm
_05213_,2.3µm
_05868_,2.3µm
_06061_,2.3µm
_06108_,2.3µm
_06268_,2.3µm
_06369_,2.3µm
_06516_,2.3µm
_06777_,2.3µm
_06957_,2.3µm
_07602_,2.3µm
_07936_,2.3µm
_08300_,2.3µm
_08318_,2.3µm
_08402_,2.3µm
_08797_,2.3µm
_09197_,2.3µm
_09205_,2.3µm
_09707_,2.3µm
_10350_,2.3µm
_10824_,2.3µm
_10839_,2.3µm
_10909_,2.3µm
_11031_,2.3µm
_11228_,2.3µm
net2906,2.3µm
net2943,2.3µm
net2945,2.3µm
net2946,2.3µm
net2950,2.3µm
net2954,2.3µm
net2961,2.3µm
net2965,2.3µm
net2973,2.3µm
net2978,2.3µm
net2981,2.3µm
net2982,2.3µm
net2991,2.3µm
net2994,2.3µm
net3012,2.3µm
net3014,2.3µm
net3022,2.3µm
net3039,2.3µm
net3055,2.3µm
net3088,2.3µm
_05720_,2.285µm
_00321_,2.28µm
_00365_,2.28µm
_00372_,2.28µm
_00435_,2.28µm
_00446_,2.28µm
_00493_,2.28µm
_00624_,2.28µm
_00642_,2.28µm
_00684_,2.28µm
_00734_,2.28µm
_00788_,2.28µm
_00795_,2.28µm
_00839_,2.28µm
_01029_,2.28µm
_01266_,2.28µm
_01349_,2.28µm
_01489_,2.28µm
_01953_,2.28µm
_01961_,2.28µm
_02052_,2.28µm
_02071_,2.28µm
_02091_,2.28µm
_02162_,2.28µm
_02212_,2.28µm
_02281_,2.28µm
_02336_,2.28µm
_02351_,2.28µm
_02389_,2.28µm
_02401_,2.28µm
_02457_,2.28µm
_02470_,2.28µm
_02511_,2.28µm
_02717_,2.28µm
_03510_,2.28µm
_03520_,2.28µm
_03705_,2.28µm
_04040_,2.28µm
_04085_,2.28µm
_04100_,2.28µm
_04899_,2.28µm
_05589_,2.28µm
_05776_,2.28µm
_05836_,2.28µm
_06188_,2.28µm
_06308_,2.28µm
_06538_,2.28µm
_06879_,2.28µm
_08416_,2.28µm
_08784_,2.28µm
_09669_,2.28µm
_10217_,2.28µm
_10786_,2.28µm
_11016_,2.28µm
_11051_,2.28µm
_11265_,2.28µm
_11395_,2.28µm
dp.ifu.pc_in\[27\],2.28µm
dp.ifu.pc_in\[9\],2.28µm
_05470_,2.255µm
_05949_,2.255µm
_10714_,2.24µm
_11196_,2.24µm
_01036_,2.23µm
_01044_,2.23µm
_01052_,2.23µm
_01067_,2.23µm
_01082_,2.23µm
_01084_,2.23µm
_01093_,2.23µm
_01098_,2.23µm
_01100_,2.23µm
_01103_,2.23µm
_01110_,2.23µm
_01129_,2.23µm
_01132_,2.23µm
_01134_,2.23µm
_01140_,2.23µm
_01144_,2.23µm
_01153_,2.23µm
_01163_,2.23µm
_01165_,2.23µm
_01169_,2.23µm
_01170_,2.23µm
_01171_,2.23µm
_01204_,2.23µm
_01218_,2.23µm
_01248_,2.23µm
_01250_,2.23µm
_01257_,2.23µm
_01259_,2.23µm
_01269_,2.23µm
_01270_,2.23µm
_01274_,2.23µm
net2899,2.22µm
_00017_,2.21µm
_00159_,2.21µm
_00379_,2.21µm
_00585_,2.21µm
_00588_,2.21µm
_00784_,2.21µm
_00940_,2.21µm
_00945_,2.21µm
_00961_,2.21µm
_01096_,2.21µm
_01106_,2.21µm
_01203_,2.21µm
_01205_,2.21µm
_06287_,2.21µm
_10818_,2.21µm
_03763_,2.2µm
_05051_,2.2µm
_05319_,2.195µm
_05559_,2.195µm
_03470_,2.19µm
_04860_,2.19µm
_10379_,2.19µm
_10525_,2.19µm
_01513_,2.185µm
_01393_,2.18µm
_01408_,2.18µm
_01536_,2.18µm
_01549_,2.18µm
_01590_,2.18µm
_01612_,2.18µm
_01718_,2.18µm
_01724_,2.18µm
_01815_,2.18µm
_01852_,2.18µm
_01861_,2.18µm
_01974_,2.18µm
_01986_,2.18µm
_02004_,2.18µm
_02017_,2.18µm
_02102_,2.18µm
_02114_,2.18µm
_02223_,2.18µm
_02261_,2.18µm
_02289_,2.18µm
_02378_,2.18µm
_02541_,2.18µm
_02546_,2.18µm
_02589_,2.18µm
_02594_,2.18µm
_02599_,2.18µm
_02614_,2.18µm
_02654_,2.18µm
_02669_,2.18µm
_02724_,2.18µm
_02734_,2.18µm
_02748_,2.18µm
_02823_,2.18µm
_02891_,2.18µm
_02893_,2.18µm
_02899_,2.18µm
_02903_,2.18µm
_02929_,2.18µm
_02989_,2.18µm
_03052_,2.18µm
_03107_,2.18µm
_03112_,2.18µm
_03138_,2.18µm
_03152_,2.18µm
_03155_,2.18µm
_03167_,2.18µm
_03208_,2.18µm
_03228_,2.18µm
_03287_,2.18µm
_03293_,2.18µm
_03295_,2.18µm
_03309_,2.18µm
_03342_,2.18µm
_03363_,2.18µm
_03370_,2.18µm
_03412_,2.18µm
_03492_,2.18µm
_03527_,2.18µm
_03557_,2.18µm
_03592_,2.18µm
_03602_,2.18µm
_03617_,2.18µm
_03647_,2.18µm
_03662_,2.18µm
_03686_,2.18µm
_03707_,2.18µm
_03712_,2.18µm
_03731_,2.18µm
_03757_,2.18µm
_03777_,2.18µm
_03782_,2.18µm
_03826_,2.18µm
_03857_,2.18µm
_03884_,2.18µm
_03887_,2.18µm
_03911_,2.18µm
_03912_,2.18µm
_03922_,2.18µm
_03925_,2.18µm
_03943_,2.18µm
_03983_,2.18µm
_04047_,2.18µm
_04062_,2.18µm
_04169_,2.18µm
_04212_,2.18µm
_04222_,2.18µm
_04237_,2.18µm
_04242_,2.18µm
_04345_,2.18µm
_04386_,2.18µm
_04411_,2.18µm
_04460_,2.18µm
_04461_,2.18µm
_04465_,2.18µm
_04470_,2.18µm
_04565_,2.18µm
_04688_,2.18µm
_04721_,2.18µm
_04795_,2.18µm
_04823_,2.18µm
_04941_,2.18µm
_04961_,2.18µm
_04965_,2.18µm
_05065_,2.18µm
_05081_,2.18µm
_05137_,2.18µm
_05173_,2.18µm
_05242_,2.18µm
_05291_,2.18µm
_05385_,2.18µm
_05418_,2.18µm
_05429_,2.18µm
_05463_,2.18µm
_05473_,2.18µm
_05508_,2.18µm
_05538_,2.18µm
_05553_,2.18µm
_05568_,2.18µm
_05573_,2.18µm
_05593_,2.18µm
_05613_,2.18µm
_05623_,2.18µm
_05628_,2.18µm
_05670_,2.18µm
_05703_,2.18µm
_05722_,2.18µm
_05822_,2.18µm
_05827_,2.18µm
_05843_,2.18µm
_05853_,2.18µm
_05858_,2.18µm
_05877_,2.18µm
_05887_,2.18µm
_05898_,2.18µm
_05907_,2.18µm
_05913_,2.18µm
_05922_,2.18µm
_05947_,2.18µm
_05959_,2.18µm
_05962_,2.18µm
_05963_,2.18µm
_05967_,2.18µm
_05982_,2.18µm
_05987_,2.18µm
_06002_,2.18µm
_06063_,2.18µm
_06067_,2.18µm
_06097_,2.18µm
_06147_,2.18µm
_06187_,2.18µm
_06207_,2.18µm
_06212_,2.18µm
_06244_,2.18µm
_06272_,2.18µm
_06273_,2.18µm
_06292_,2.18µm
_06293_,2.18µm
_06298_,2.18µm
_06342_,2.18µm
_06383_,2.18µm
_06387_,2.18µm
_06398_,2.18µm
_06465_,2.18µm
_06472_,2.18µm
_06482_,2.18µm
_07221_,2.18µm
_07324_,2.18µm
_07465_,2.18µm
_07539_,2.18µm
_07681_,2.18µm
_07731_,2.18µm
_07915_,2.18µm
_08004_,2.18µm
_08508_,2.18µm
_08761_,2.18µm
_08853_,2.18µm
_08861_,2.18µm
_09441_,2.18µm
_09670_,2.18µm
_09736_,2.18µm
_10344_,2.18µm
_10354_,2.18µm
_10364_,2.18µm
_10367_,2.18µm
_10375_,2.18µm
_10380_,2.18µm
_10419_,2.18µm
_10424_,2.18µm
_10425_,2.18µm
_10429_,2.18µm
_10434_,2.18µm
_10439_,2.18µm
_10461_,2.18µm
_10494_,2.18µm
_10505_,2.18µm
_10509_,2.18µm
_10540_,2.18µm
_10549_,2.18µm
_10555_,2.18µm
_10564_,2.18µm
_10575_,2.18µm
_10589_,2.18µm
_10594_,2.18µm
_10653_,2.18µm
_10663_,2.18µm
_10664_,2.18µm
_10694_,2.18µm
_10700_,2.18µm
_10704_,2.18µm
_10719_,2.18µm
_10723_,2.18µm
_10808_,2.18µm
_10812_,2.18µm
_10822_,2.18µm
_10837_,2.18µm
_10853_,2.18µm
_10867_,2.18µm
_10868_,2.18µm
_10888_,2.18µm
_10902_,2.18µm
_10917_,2.18µm
_10932_,2.18µm
_10998_,2.18µm
_11047_,2.18µm
_11207_,2.18µm
_11268_,2.18µm
_11327_,2.18µm
_11377_,2.18µm
_11382_,2.18µm
_11401_,2.18µm
net2884,2.18µm
_03603_,2.175µm
_08912_,2.17µm
_11387_,2.17µm
_10804_,2.165µm
_00009_,2.16µm
_00142_,2.16µm
_00146_,2.16µm
_00445_,2.16µm
_00643_,2.16µm
_00713_,2.16µm
_00855_,2.16µm
_01000_,2.16µm
_01054_,2.16µm
_01186_,2.16µm
_01212_,2.16µm
_01300_,2.16µm
_01322_,2.16µm
_01330_,2.16µm
_01389_,2.16µm
_01443_,2.16µm
_01462_,2.16µm
_01472_,2.16µm
_01532_,2.16µm
_01552_,2.16µm
_01565_,2.16µm
_01572_,2.16µm
_01605_,2.16µm
_01629_,2.16µm
_01634_,2.16µm
_01692_,2.16µm
_01700_,2.16µm
_01702_,2.16µm
_01731_,2.16µm
_01738_,2.16µm
_01765_,2.16µm
_01810_,2.16µm
_01847_,2.16µm
_01850_,2.16µm
_01862_,2.16µm
_01878_,2.16µm
_01883_,2.16µm
_01910_,2.16µm
_01925_,2.16µm
_01944_,2.16µm
_01946_,2.16µm
_01960_,2.16µm
_01980_,2.16µm
_01982_,2.16µm
_02010_,2.16µm
_02038_,2.16µm
_02044_,2.16µm
_02056_,2.16µm
_02078_,2.16µm
_02103_,2.16µm
_02110_,2.16µm
_02111_,2.16µm
_02119_,2.16µm
_02137_,2.16µm
_02143_,2.16µm
_02152_,2.16µm
_02206_,2.16µm
_02264_,2.16µm
_02267_,2.16µm
_02306_,2.16µm
_02326_,2.16µm
_02330_,2.16µm
_02333_,2.16µm
_02337_,2.16µm
_02379_,2.16µm
_02408_,2.16µm
_02445_,2.16µm
_02517_,2.16µm
_02522_,2.16µm
_02533_,2.16µm
_02552_,2.16µm
_02570_,2.16µm
_02579_,2.16µm
_02601_,2.16µm
_02670_,2.16µm
_02671_,2.16µm
_02702_,2.16µm
_02720_,2.16µm
_02766_,2.16µm
_02786_,2.16µm
_02818_,2.16µm
_02872_,2.16µm
_02895_,2.16µm
_02918_,2.16µm
_02938_,2.16µm
_02960_,2.16µm
_03014_,2.16µm
_03054_,2.16µm
_03057_,2.16µm
_03070_,2.16µm
_03079_,2.16µm
_03113_,2.16µm
_03125_,2.16µm
_03215_,2.16µm
_03243_,2.16µm
_03278_,2.16µm
_03280_,2.16µm
_03289_,2.16µm
_03314_,2.16µm
_03330_,2.16µm
_03349_,2.16µm
_03352_,2.16µm
_03364_,2.16µm
_03385_,2.16µm
_03431_,2.16µm
_03439_,2.16µm
_03449_,2.16µm
_03468_,2.16µm
_03479_,2.16µm
_03517_,2.16µm
_03538_,2.16µm
_03549_,2.16µm
_03579_,2.16µm
_03593_,2.16µm
_03624_,2.16µm
_03628_,2.16µm
_03634_,2.16µm
_03642_,2.16µm
_03645_,2.16µm
_03653_,2.16µm
_03654_,2.16µm
_03691_,2.16µm
_03772_,2.16µm
_03796_,2.16µm
_03799_,2.16µm
_03824_,2.16µm
_03848_,2.16µm
_03860_,2.16µm
_03863_,2.16µm
_03868_,2.16µm
_03889_,2.16µm
_03932_,2.16µm
_03974_,2.16µm
_03976_,2.16µm
_03996_,2.16µm
_04002_,2.16µm
_04011_,2.16µm
_04104_,2.16µm
_04142_,2.16µm
_04216_,2.16µm
_04244_,2.16µm
_04268_,2.16µm
_04289_,2.16µm
_04313_,2.16µm
_04329_,2.16µm
_04331_,2.16µm
_04382_,2.16µm
_04412_,2.16µm
_04442_,2.16µm
_04444_,2.16µm
_04452_,2.16µm
_04459_,2.16µm
_04462_,2.16µm
_04473_,2.16µm
_04517_,2.16µm
_04531_,2.16µm
_04537_,2.16µm
_04597_,2.16µm
_04603_,2.16µm
_04607_,2.16µm
_04613_,2.16µm
_04703_,2.16µm
_04868_,2.16µm
_04891_,2.16µm
_04930_,2.16µm
_04943_,2.16µm
_04950_,2.16µm
_05012_,2.16µm
_05069_,2.16µm
_05087_,2.16µm
_05095_,2.16µm
_05110_,2.16µm
_05142_,2.16µm
_05152_,2.16µm
_05204_,2.16µm
_05228_,2.16µm
_05248_,2.16µm
_05251_,2.16µm
_05257_,2.16µm
_05261_,2.16µm
_05296_,2.16µm
_05362_,2.16µm
_05400_,2.16µm
_05413_,2.16µm
_05434_,2.16µm
_05436_,2.16µm
_05468_,2.16µm
_05501_,2.16µm
_05521_,2.16µm
_05541_,2.16µm
_05612_,2.16µm
_05616_,2.16µm
_05728_,2.16µm
_05733_,2.16µm
_05745_,2.16µm
_05802_,2.16µm
_05806_,2.16µm
_05839_,2.16µm
_05875_,2.16µm
_05910_,2.16µm
_05911_,2.16µm
_05969_,2.16µm
_05995_,2.16µm
_06007_,2.16µm
_06017_,2.16µm
_06021_,2.16µm
_06035_,2.16µm
_06114_,2.16µm
_06118_,2.16µm
_06139_,2.16µm
_06160_,2.16µm
_06240_,2.16µm
_06263_,2.16µm
_06280_,2.16µm
_06291_,2.16µm
_06335_,2.16µm
_06427_,2.16µm
_06487_,2.16µm
_06643_,2.16µm
_06690_,2.16µm
_06840_,2.16µm
_07016_,2.16µm
_07185_,2.16µm
_07255_,2.16µm
_07303_,2.16µm
_07441_,2.16µm
_07556_,2.16µm
_07648_,2.16µm
_07812_,2.16µm
_07821_,2.16µm
_07873_,2.16µm
_07885_,2.16µm
_08021_,2.16µm
_08062_,2.16µm
_08147_,2.16µm
_08214_,2.16µm
_08269_,2.16µm
_08306_,2.16µm
_08322_,2.16µm
_08349_,2.16µm
_08422_,2.16µm
_08561_,2.16µm
_08608_,2.16µm
_08623_,2.16µm
_08716_,2.16µm
_08718_,2.16µm
_08720_,2.16µm
_08737_,2.16µm
_08749_,2.16µm
_08766_,2.16µm
_08814_,2.16µm
_08816_,2.16µm
_08876_,2.16µm
_08880_,2.16µm
_08914_,2.16µm
_09031_,2.16µm
_09116_,2.16µm
_09165_,2.16µm
_09235_,2.16µm
_09460_,2.16µm
_09467_,2.16µm
_09478_,2.16µm
_09504_,2.16µm
_09527_,2.16µm
_09576_,2.16µm
_09762_,2.16µm
_09778_,2.16µm
_09877_,2.16µm
_09897_,2.16µm
_09944_,2.16µm
_09974_,2.16µm
_09994_,2.16µm
_10027_,2.16µm
_10284_,2.16µm
_10307_,2.16µm
_10343_,2.16µm
_10345_,2.16µm
_10359_,2.16µm
_10362_,2.16µm
_10390_,2.16µm
_10407_,2.16µm
_10414_,2.16µm
_10428_,2.16µm
_10462_,2.16µm
_10518_,2.16µm
_10565_,2.16µm
_10604_,2.16µm
_10647_,2.16µm
_10652_,2.16µm
_10720_,2.16µm
_10834_,2.16µm
_10835_,2.16µm
_10857_,2.16µm
_10910_,2.16µm
_10950_,2.16µm
_10959_,2.16µm
_10962_,2.16µm
_11039_,2.16µm
_11059_,2.16µm
_11068_,2.16µm
_11092_,2.16µm
_11100_,2.16µm
_11166_,2.16µm
_11172_,2.16µm
_11208_,2.16µm
_11226_,2.16µm
_11233_,2.16µm
_11293_,2.16µm
_11313_,2.16µm
_11328_,2.16µm
_11337_,2.16µm
_11373_,2.16µm
net2952,2.16µm
net3025,2.16µm
net3036,2.16µm
net3068,2.16µm
_03582_,2.12µm
_03612_,2.12µm
_05893_,2.12µm
_02844_,2.11µm
_05460_,2.105µm
_00759_,2.09µm
_03718_,2.09µm
_06029_,2.065µm
_06234_,2.065µm
_02576_,2.06µm
_02643_,2.06µm
_02694_,2.06µm
_02775_,2.06µm
_02959_,2.06µm
_03610_,2.06µm
_03719_,2.06µm
_03764_,2.06µm
_03787_,2.06µm
_03808_,2.06µm
_03810_,2.06µm
_04081_,2.06µm
_04083_,2.06µm
_04317_,2.06µm
_04337_,2.06µm
_04400_,2.06µm
_04661_,2.06µm
_04696_,2.06µm
_04896_,2.06µm
_04947_,2.06µm
_05071_,2.06µm
_05357_,2.06µm
_05444_,2.06µm
_05551_,2.06µm
_05601_,2.06µm
_05880_,2.06µm
_05915_,2.06µm
_05978_,2.06µm
_06030_,2.06µm
_06149_,2.06µm
_07253_,2.06µm
_07325_,2.06µm
_07418_,2.06µm
_07486_,2.06µm
_08088_,2.06µm
_08219_,2.06µm
_08408_,2.06µm
_08542_,2.06µm
_08563_,2.06µm
_08572_,2.06µm
_08617_,2.06µm
_08656_,2.06µm
_08850_,2.06µm
_09003_,2.06µm
_09056_,2.06µm
_09212_,2.06µm
_09289_,2.06µm
_09458_,2.06µm
_09812_,2.06µm
_09842_,2.06µm
_10107_,2.06µm
_10119_,2.06µm
_10179_,2.06µm
_10306_,2.06µm
_10432_,2.06µm
_10544_,2.06µm
_10744_,2.06µm
_10805_,2.06µm
_11049_,2.06µm
_11222_,2.06µm
_11253_,2.06µm
_11316_,2.06µm
_11399_,2.06µm
_06235_,2.055µm
_00014_,2.04µm
_00027_,2.04µm
_00058_,2.04µm
_00080_,2.04µm
_00138_,2.04µm
_00194_,2.04µm
_00201_,2.04µm
_00207_,2.04µm
_00225_,2.04µm
_00261_,2.04µm
_00301_,2.04µm
_00403_,2.04µm
_00406_,2.04µm
_00434_,2.04µm
_00495_,2.04µm
_00499_,2.04µm
_00543_,2.04µm
_00544_,2.04µm
_00567_,2.04µm
_00613_,2.04µm
_00663_,2.04µm
_00735_,2.04µm
