net,length_um
net460,336.495µm
dp.dm.mem\[111\]\[4\],336.36µm
net1176,336.315µm
dp.dm.mem\[26\]\[7\],336.3µm
net1392,336.25µm
_06975_,336.12µm
dp.dm.mem\[92\]\[7\],336.075µm
dp.dm.mem\[123\]\[2\],336.06µm
net1229,335.54µm
_07129_,335.5µm
net1349,335.09µm
_06787_,335.06µm
dp.dm.mem\[89\]\[7\],334.825µm
net2610,334.62µm
net1339,334.6µm
net1494,334.535µm
net690,334.49µm
net908,334.48µm
net666,334.43µm
net545,334.365µm
net1236,334.365µm
_08121_,334.325µm
net861,334.29µm
_08142_,334.18µm
_08917_,333.98µm
