Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_299_1357,VPWR,li1,632.5000,824.1600,1.800000
FILLER_299_1345,VPWR,li1,626.9800,824.1600,1.800000
FILLER_299_1343,VPWR,li1,623.5300,824.1600,1.800000
FILLER_299_1337,VPWR,li1,621.9200,824.1600,1.800000
FILLER_299_1325,VPWR,li1,617.7800,824.1600,1.800000
FILLER_299_1313,VPWR,li1,612.2600,824.1600,1.800000
FILLER_299_1301,VPWR,li1,606.7400,824.1600,1.800000
FILLER_299_1289,VPWR,li1,601.2200,824.1600,1.800000
FILLER_299_1287,VPWR,li1,597.7700,824.1600,1.800000
FILLER_299_1281,VPWR,li1,596.1600,824.1600,1.800000
FILLER_299_1269,VPWR,li1,592.0200,824.1600,1.800000
FILLER_299_1257,VPWR,li1,586.5000,824.1600,1.800000
FILLER_299_1245,VPWR,li1,580.9800,824.1600,1.800000
FILLER_299_1233,VPWR,li1,575.4600,824.1600,1.800000
FILLER_299_1231,VPWR,li1,572.0100,824.1600,1.800000
FILLER_299_1225,VPWR,li1,570.4000,824.1600,1.800000
FILLER_299_1213,VPWR,li1,566.2600,824.1600,1.800000
FILLER_299_1201,VPWR,li1,560.7400,824.1600,1.800000
FILLER_299_1189,VPWR,li1,555.2200,824.1600,1.800000
FILLER_299_1177,VPWR,li1,549.7000,824.1600,1.800000
FILLER_299_1175,VPWR,li1,546.2500,824.1600,1.800000
FILLER_299_1169,VPWR,li1,544.6400,824.1600,1.800000
FILLER_299_1157,VPWR,li1,540.5000,824.1600,1.800000
FILLER_299_1145,VPWR,li1,534.9800,824.1600,1.800000
FILLER_299_1133,VPWR,li1,529.4600,824.1600,1.800000
FILLER_299_1121,VPWR,li1,523.9400,824.1600,1.800000
FILLER_299_1119,VPWR,li1,520.4900,824.1600,1.800000
FILLER_299_1113,VPWR,li1,518.8800,824.1600,1.800000
FILLER_299_1101,VPWR,li1,514.7400,824.1600,1.800000
FILLER_299_1089,VPWR,li1,509.2200,824.1600,1.800000
FILLER_299_1077,VPWR,li1,503.7000,824.1600,1.800000
FILLER_299_1065,VPWR,li1,498.1800,824.1600,1.800000
FILLER_299_1063,VPWR,li1,494.7300,824.1600,1.800000
FILLER_299_1057,VPWR,li1,493.1200,824.1600,1.800000
FILLER_299_1045,VPWR,li1,488.9800,824.1600,1.800000
FILLER_299_1033,VPWR,li1,483.4600,824.1600,1.800000
FILLER_299_1021,VPWR,li1,477.9400,824.1600,1.800000
FILLER_299_1009,VPWR,li1,472.4200,824.1600,1.800000
FILLER_299_1007,VPWR,li1,468.9700,824.1600,1.800000
FILLER_299_1001,VPWR,li1,467.3600,824.1600,1.800000
FILLER_299_989,VPWR,li1,463.2200,824.1600,1.800000
FILLER_299_977,VPWR,li1,457.7000,824.1600,1.800000
FILLER_299_965,VPWR,li1,452.1800,824.1600,1.800000
FILLER_299_953,VPWR,li1,446.6600,824.1600,1.800000
FILLER_299_951,VPWR,li1,443.2100,824.1600,1.800000
FILLER_299_945,VPWR,li1,441.6000,824.1600,1.800000
FILLER_299_933,VPWR,li1,437.4600,824.1600,1.800000
FILLER_299_921,VPWR,li1,431.9400,824.1600,1.800000
FILLER_299_909,VPWR,li1,426.4200,824.1600,1.800000
FILLER_299_897,VPWR,li1,420.9000,824.1600,1.800000
FILLER_299_895,VPWR,li1,417.4500,824.1600,1.800000
FILLER_299_889,VPWR,li1,415.8400,824.1600,1.800000
FILLER_299_877,VPWR,li1,411.7000,824.1600,1.800000
FILLER_299_865,VPWR,li1,406.1800,824.1600,1.800000
FILLER_299_853,VPWR,li1,400.6600,824.1600,1.800000
FILLER_299_841,VPWR,li1,395.1400,824.1600,1.800000
FILLER_299_839,VPWR,li1,391.6900,824.1600,1.800000
FILLER_299_833,VPWR,li1,390.0800,824.1600,1.800000
FILLER_299_821,VPWR,li1,385.9400,824.1600,1.800000
FILLER_299_809,VPWR,li1,380.4200,824.1600,1.800000
FILLER_299_797,VPWR,li1,374.9000,824.1600,1.800000
FILLER_299_785,VPWR,li1,369.3800,824.1600,1.800000
FILLER_299_783,VPWR,li1,365.9300,824.1600,1.800000
FILLER_299_777,VPWR,li1,364.3200,824.1600,1.800000
FILLER_299_765,VPWR,li1,360.1800,824.1600,1.800000
FILLER_299_753,VPWR,li1,354.6600,824.1600,1.800000
FILLER_299_741,VPWR,li1,349.1400,824.1600,1.800000
FILLER_299_729,VPWR,li1,343.6200,824.1600,1.800000
FILLER_299_727,VPWR,li1,340.1700,824.1600,1.800000
FILLER_299_721,VPWR,li1,338.5600,824.1600,1.800000
FILLER_299_709,VPWR,li1,334.4200,824.1600,1.800000
FILLER_299_697,VPWR,li1,328.9000,824.1600,1.800000
FILLER_299_685,VPWR,li1,323.3800,824.1600,1.800000
FILLER_299_673,VPWR,li1,317.8600,824.1600,1.800000
FILLER_299_671,VPWR,li1,314.4100,824.1600,1.800000
FILLER_299_665,VPWR,li1,312.8000,824.1600,1.800000
FILLER_299_653,VPWR,li1,308.6600,824.1600,1.800000
FILLER_299_641,VPWR,li1,303.1400,824.1600,1.800000
FILLER_299_629,VPWR,li1,297.6200,824.1600,1.800000
FILLER_299_617,VPWR,li1,292.1000,824.1600,1.800000
FILLER_299_615,VPWR,li1,288.6500,824.1600,1.800000
FILLER_299_609,VPWR,li1,287.0400,824.1600,1.800000
FILLER_299_597,VPWR,li1,282.9000,824.1600,1.800000
FILLER_299_585,VPWR,li1,277.3800,824.1600,1.800000
FILLER_299_573,VPWR,li1,271.8600,824.1600,1.800000
FILLER_299_561,VPWR,li1,266.3400,824.1600,1.800000
FILLER_299_559,VPWR,li1,262.8900,824.1600,1.800000
FILLER_299_553,VPWR,li1,261.2800,824.1600,1.800000
FILLER_299_541,VPWR,li1,257.1400,824.1600,1.800000
FILLER_299_529,VPWR,li1,251.6200,824.1600,1.800000
FILLER_299_517,VPWR,li1,246.1000,824.1600,1.800000
FILLER_299_505,VPWR,li1,240.5800,824.1600,1.800000
FILLER_299_503,VPWR,li1,237.1300,824.1600,1.800000
FILLER_299_497,VPWR,li1,235.5200,824.1600,1.800000
FILLER_299_485,VPWR,li1,231.3800,824.1600,1.800000
FILLER_299_473,VPWR,li1,225.8600,824.1600,1.800000
FILLER_299_461,VPWR,li1,220.3400,824.1600,1.800000
FILLER_299_449,VPWR,li1,214.8200,824.1600,1.800000
FILLER_299_447,VPWR,li1,211.3700,824.1600,1.800000
FILLER_299_441,VPWR,li1,209.7600,824.1600,1.800000
FILLER_299_429,VPWR,li1,205.6200,824.1600,1.800000
FILLER_299_417,VPWR,li1,200.1000,824.1600,1.800000
FILLER_299_405,VPWR,li1,194.5800,824.1600,1.800000
FILLER_299_393,VPWR,li1,189.0600,824.1600,1.800000
FILLER_299_391,VPWR,li1,185.6100,824.1600,1.800000
FILLER_299_385,VPWR,li1,184.0000,824.1600,1.800000
FILLER_299_373,VPWR,li1,179.8600,824.1600,1.800000
FILLER_299_361,VPWR,li1,174.3400,824.1600,1.800000
FILLER_299_349,VPWR,li1,168.8200,824.1600,1.800000
FILLER_299_337,VPWR,li1,163.3000,824.1600,1.800000
FILLER_299_335,VPWR,li1,159.8500,824.1600,1.800000
FILLER_299_329,VPWR,li1,158.2400,824.1600,1.800000
FILLER_299_317,VPWR,li1,154.1000,824.1600,1.800000
FILLER_299_305,VPWR,li1,148.5800,824.1600,1.800000
FILLER_299_293,VPWR,li1,143.0600,824.1600,1.800000
FILLER_299_281,VPWR,li1,137.5400,824.1600,1.800000
FILLER_299_279,VPWR,li1,134.0900,824.1600,1.800000
FILLER_299_273,VPWR,li1,132.4800,824.1600,1.800000
FILLER_299_261,VPWR,li1,128.3400,824.1600,1.800000
FILLER_299_249,VPWR,li1,122.8200,824.1600,1.800000
FILLER_299_237,VPWR,li1,117.3000,824.1600,1.800000
FILLER_299_225,VPWR,li1,111.7800,824.1600,1.800000
FILLER_299_223,VPWR,li1,108.3300,824.1600,1.800000
FILLER_299_217,VPWR,li1,106.7200,824.1600,1.800000
FILLER_299_205,VPWR,li1,102.5800,824.1600,1.800000
FILLER_299_193,VPWR,li1,97.0600,824.1600,1.800000
FILLER_299_181,VPWR,li1,91.5400,824.1600,1.800000
FILLER_299_169,VPWR,li1,86.0200,824.1600,1.800000
FILLER_299_167,VPWR,li1,82.5700,824.1600,1.800000
FILLER_299_161,VPWR,li1,80.9600,824.1600,1.800000
FILLER_299_149,VPWR,li1,76.8200,824.1600,1.800000
FILLER_299_137,VPWR,li1,71.3000,824.1600,1.800000
FILLER_299_125,VPWR,li1,65.7800,824.1600,1.800000
FILLER_299_113,VPWR,li1,60.2600,824.1600,1.800000
FILLER_299_111,VPWR,li1,56.8100,824.1600,1.800000
FILLER_299_105,VPWR,li1,55.2000,824.1600,1.800000
FILLER_299_93,VPWR,li1,51.0600,824.1600,1.800000
FILLER_299_81,VPWR,li1,45.5400,824.1600,1.800000
FILLER_299_69,VPWR,li1,40.0200,824.1600,1.800000
FILLER_299_57,VPWR,li1,34.5000,824.1600,1.800000
FILLER_299_55,VPWR,li1,31.0500,824.1600,1.800000
FILLER_299_51,VPWR,li1,29.9000,824.1600,1.800000
FILLER_299_39,VPWR,li1,26.2200,824.1600,1.800000
FILLER_299_27,VPWR,li1,20.7000,824.1600,1.800000
FILLER_299_15,VPWR,li1,15.1800,824.1600,1.800000
FILLER_299_3,VPWR,li1,9.6600,824.1600,1.800000
FILLER_298_1765,VPWR,li1,820.1800,824.1600,1.800000
FILLER_298_1763,VPWR,li1,816.7300,824.1600,1.800000
FILLER_298_1757,VPWR,li1,815.1200,824.1600,1.800000
FILLER_298_1745,VPWR,li1,810.9800,824.1600,1.800000
FILLER_298_1733,VPWR,li1,805.4600,824.1600,1.800000
FILLER_298_1721,VPWR,li1,799.9400,824.1600,1.800000
FILLER_298_1709,VPWR,li1,794.4200,824.1600,1.800000
FILLER_298_1707,VPWR,li1,790.9700,824.1600,1.800000
FILLER_298_1701,VPWR,li1,789.3600,824.1600,1.800000
FILLER_298_1689,VPWR,li1,785.2200,824.1600,1.800000
FILLER_298_1677,VPWR,li1,779.7000,824.1600,1.800000
FILLER_298_1665,VPWR,li1,774.1800,824.1600,1.800000
FILLER_298_1653,VPWR,li1,768.6600,824.1600,1.800000
FILLER_298_1651,VPWR,li1,765.2100,824.1600,1.800000
FILLER_298_1645,VPWR,li1,763.6000,824.1600,1.800000
FILLER_298_1633,VPWR,li1,759.4600,824.1600,1.800000
FILLER_298_1621,VPWR,li1,753.9400,824.1600,1.800000
FILLER_298_1609,VPWR,li1,748.4200,824.1600,1.800000
FILLER_298_1597,VPWR,li1,742.9000,824.1600,1.800000
FILLER_298_1595,VPWR,li1,739.4500,824.1600,1.800000
FILLER_298_1589,VPWR,li1,737.8400,824.1600,1.800000
FILLER_298_1577,VPWR,li1,733.7000,824.1600,1.800000
FILLER_298_1565,VPWR,li1,728.1800,824.1600,1.800000
FILLER_298_1553,VPWR,li1,722.6600,824.1600,1.800000
FILLER_298_1541,VPWR,li1,717.1400,824.1600,1.800000
FILLER_298_1539,VPWR,li1,713.6900,824.1600,1.800000
FILLER_298_1533,VPWR,li1,712.0800,824.1600,1.800000
FILLER_298_1521,VPWR,li1,707.9400,824.1600,1.800000
FILLER_298_1509,VPWR,li1,702.4200,824.1600,1.800000
FILLER_298_1497,VPWR,li1,696.9000,824.1600,1.800000
FILLER_298_1485,VPWR,li1,691.3800,824.1600,1.800000
FILLER_298_1483,VPWR,li1,687.9300,824.1600,1.800000
FILLER_298_1477,VPWR,li1,686.3200,824.1600,1.800000
FILLER_298_1465,VPWR,li1,682.1800,824.1600,1.800000
FILLER_298_1453,VPWR,li1,676.6600,824.1600,1.800000
FILLER_298_1441,VPWR,li1,671.1400,824.1600,1.800000
FILLER_298_1429,VPWR,li1,665.6200,824.1600,1.800000
FILLER_298_1427,VPWR,li1,662.1700,824.1600,1.800000
FILLER_298_1421,VPWR,li1,660.5600,824.1600,1.800000
FILLER_298_1409,VPWR,li1,656.4200,824.1600,1.800000
FILLER_298_1397,VPWR,li1,650.9000,824.1600,1.800000
FILLER_298_1385,VPWR,li1,645.3800,824.1600,1.800000
FILLER_298_1373,VPWR,li1,639.8600,824.1600,1.800000
FILLER_298_1371,VPWR,li1,636.4100,824.1600,1.800000
FILLER_298_1365,VPWR,li1,634.8000,824.1600,1.800000
FILLER_298_1353,VPWR,li1,630.6600,824.1600,1.800000
FILLER_298_1341,VPWR,li1,625.1400,824.1600,1.800000
