Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_299_1567,VGND,li1,726.5700,826.8800,0.000000
FILLER_299_1561,VGND,li1,724.9600,826.8800,0.000000
FILLER_299_1549,VGND,li1,720.8200,826.8800,0.000000
FILLER_299_1537,VGND,li1,715.3000,826.8800,0.000000
FILLER_299_1525,VGND,li1,709.7800,826.8800,0.000000
FILLER_299_1513,VGND,li1,704.2600,826.8800,0.000000
FILLER_299_1511,VGND,li1,700.8100,826.8800,0.000000
FILLER_299_1505,VGND,li1,699.2000,826.8800,0.000000
FILLER_299_1493,VGND,li1,695.0600,826.8800,0.000000
FILLER_299_1481,VGND,li1,689.5400,826.8800,0.000000
FILLER_299_1469,VGND,li1,684.0200,826.8800,0.000000
FILLER_299_1457,VGND,li1,678.5000,826.8800,0.000000
FILLER_299_1455,VGND,li1,675.0500,826.8800,0.000000
FILLER_299_1449,VGND,li1,673.4400,826.8800,0.000000
FILLER_299_1437,VGND,li1,669.3000,826.8800,0.000000
FILLER_299_1425,VGND,li1,663.7800,826.8800,0.000000
FILLER_299_1413,VGND,li1,658.2600,826.8800,0.000000
FILLER_299_1401,VGND,li1,652.7400,826.8800,0.000000
FILLER_299_1399,VGND,li1,649.2900,826.8800,0.000000
FILLER_299_1393,VGND,li1,647.6800,826.8800,0.000000
FILLER_299_1381,VGND,li1,643.5400,826.8800,0.000000
FILLER_299_1369,VGND,li1,638.0200,826.8800,0.000000
FILLER_299_1357,VGND,li1,632.5000,826.8800,0.000000
FILLER_299_1345,VGND,li1,626.9800,826.8800,0.000000
FILLER_299_1343,VGND,li1,623.5300,826.8800,0.000000
FILLER_299_1337,VGND,li1,621.9200,826.8800,0.000000
FILLER_299_1325,VGND,li1,617.7800,826.8800,0.000000
FILLER_299_1313,VGND,li1,612.2600,826.8800,0.000000
FILLER_299_1301,VGND,li1,606.7400,826.8800,0.000000
FILLER_299_1289,VGND,li1,601.2200,826.8800,0.000000
FILLER_299_1287,VGND,li1,597.7700,826.8800,0.000000
FILLER_299_1281,VGND,li1,596.1600,826.8800,0.000000
FILLER_299_1269,VGND,li1,592.0200,826.8800,0.000000
FILLER_299_1257,VGND,li1,586.5000,826.8800,0.000000
FILLER_299_1245,VGND,li1,580.9800,826.8800,0.000000
FILLER_299_1233,VGND,li1,575.4600,826.8800,0.000000
FILLER_299_1231,VGND,li1,572.0100,826.8800,0.000000
FILLER_299_1225,VGND,li1,570.4000,826.8800,0.000000
FILLER_299_1213,VGND,li1,566.2600,826.8800,0.000000
FILLER_299_1201,VGND,li1,560.7400,826.8800,0.000000
FILLER_299_1189,VGND,li1,555.2200,826.8800,0.000000
FILLER_299_1177,VGND,li1,549.7000,826.8800,0.000000
FILLER_299_1175,VGND,li1,546.2500,826.8800,0.000000
FILLER_299_1169,VGND,li1,544.6400,826.8800,0.000000
FILLER_299_1157,VGND,li1,540.5000,826.8800,0.000000
FILLER_299_1145,VGND,li1,534.9800,826.8800,0.000000
FILLER_299_1133,VGND,li1,529.4600,826.8800,0.000000
FILLER_299_1121,VGND,li1,523.9400,826.8800,0.000000
FILLER_299_1119,VGND,li1,520.4900,826.8800,0.000000
